Sample ID,Storage Week ,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK,Malic-SK,Asc-SK,Shik-SK,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA,PA,7OH-ABA,ABA-GE,TSS,Firmness
DCA1_S20,5,Early,0.13,0.06,0.8,1.52,0.43,0.04,1.67,0.06,0.21,0.3,1.51,0.59,0.12,18.49,1.9,18.81,0.1,0.11,0.29,15.036,3.139,14.238,1.234,0.175,0,541.431,15.706,157.655,61.484,58.4,6.45,0.3,6.75,125.65,12.85,64.863535
DCA1_S21,5,Early,0.04,0,0.79,1.91,0.51,0.42,1.01,0.02,0.11,0.24,1.31,0.51,0.13,18.82,1.25,20.04,0.24,0.07,0.29,8.806,0,7.311,0.971,0.045,0,426.521,22.005,101.252,180.527,39,0.1,0.05,4.6,73,16.15,80.47458
DCA1_S22,5,Early,0.04,0.03,0.88,1.89,0.21,0.71,0.53,0,0.05,0.13,0.77,0.33,0.07,15.32,1.17,16.39,0.1,0.06,0,11.434,0.7,10.838,0.922,0.077,0.448,360.321,15.729,92.62,120.011,77.6,2.7,0,4.5,107.2,14.3,67.716905
DCA1_S23,5,Early,0.11,0.09,0.91,1.77,0.22,0.83,0.51,0,0.05,0.11,0.64,0.23,0.17,19.31,1.42,22.43,0.18,0.07,0.3,10.769,0.817,10.123,0.656,0.056,0.382,248.773,11.022,63.495,113.395,73.7,0.1,0,4.75,108.95,14.75,69.71828
DCA1_S24,5,Early,0.04,0,0.98,1.76,0.22,0.12,0.26,0,0.02,0.11,0.63,0.28,0.13,25.98,1.39,29.18,0.15,0.1,0.33,10.863,0.949,10.497,0.697,0.087,0.364,224.094,8.129,56.985,75.663,62.6,0.3,0,6.55,78.45,14.95,77.616575
DCA1_S25,5,Early,0.29,0.29,1.93,4.99,1.46,1.45,5.66,0.29,0.64,1.05,4.95,1.85,0.31,24.16,1.75,33.56,0.23,0.1,0.47,14.285,2.009,22.595,2.288,0.115,0.268,324.93,13.306,88.392,118.23,40,0.1,0,4.9,50,15.5,93.99887
DCA1_S26,5,Early,0.14,0.11,0.96,2.17,0.45,0.66,1.91,0,0.4,0.34,1.63,0.6,0.13,16.24,0.84,18.73,0.1,0.07,0.28,18.247,1.053,17.856,1.612,0.094,0.04,315.843,14.095,84.777,111.794,59,0.1,0,4.45,66.2,15.05,76.998345
DCA1_S27,5,Early,0.26,0.24,1.25,4.25,0.84,1.72,6.84,0.86,1.34,1.02,4.69,1.82,0.34,18.46,0.96,20.07,0.06,0.09,0.29,12.419,1.945,17.364,1.783,0.074,0,468.75,28.953,137.741,152.91,72.4,0.8,0.1,4.85,85.95,16.05,67.889275
DCA1_S28,5,Early,0.08,0.06,0.77,1.55,0.23,0.51,0.51,0,0.05,0.15,0.8,0.3,0.09,14.63,0.79,16.49,0.09,0.06,0,14.616,1.039,16.215,1.241,0.088,0.176,350.117,16.263,89.168,136.594,52.05,0.1,0,4.8,82.35,14.5,72.99549
DCA1_S29,5,Early,0.1,0.02,1.83,3.97,0.98,0.46,0.55,0,0.07,0.29,1.64,0.69,0.27,18.45,0.89,18.89,0.06,0.08,0.23,12.937,2.218,15.468,1.347,0.169,0,491.318,24.816,134.418,189.704,49.35,0.1,0,6.9,102.1,15.2,79.872655
DCA1_S30,5,Early,0.21,0.18,1.45,2.74,0.43,0.48,0.33,0,0.04,0.15,0.85,0.27,0.13,27.3,1.83,37.53,0.11,0.12,0.41,12.002,1.24,17.102,0.557,0.102,0,315.124,11.355,80.027,86.137,37.35,0.1,0,7.15,48.6,14.4,71.460095
