Sample ID,Storage Week,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK ,Malic-SK ,Asc-SK,Shik-SK ,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA ,PA ,7-OH-ABA ,ABA-GE ,TSS,Firmness
CA-S13,0,Early,0.328352638,0,1.175145036,2.377950612,0.62152454,1.890777548,3.840041752,0.40333821,0.591045299,0.614659567,1.258408085,1.450241163,0.245754711,10.37360996,0.806995348,12.93557835,0.390287512,0.064508486,0,9.479694457,1.613347148,15.56649743,1.769363381,0.147155707,1.688189938,409.9355785,11.32637012,38.14928483,243.2467714,189.0945003,10.83141965,18.81024182,12.09,108.1618976,13.45,69.440855
CA-S14,0,Early,0,0.228845362,0.920564133,2.676977535,0.259204047,2.837760635,2.040563897,0.256749717,0.314036581,0.380406772,0.709935587,0.834755747,0.179597898,14.74351405,0,23.48828445,0.259992133,0.104927808,0.347770826,8.705735506,1.415045195,16.34519189,0.836431465,0.124807984,1.791028004,355.7552203,20.20496117,40.33624472,293.4310026,580.7659353,16.17374514,16.84210116,12.36621573,123.4368614,14.35,64.545855
CA-S15,0,Early,0.299930109,0,1.082666581,2.441527381,0.440287865,0.98524654,1.375486959,0.131490258,0.20298358,0.353124153,0.672609055,0.791201512,0.199608041,22.15619006,1.889591281,27.64051991,0.710507217,0.113628603,0.369422499,7.623614568,1.950547575,17.61352289,1.688896699,0.164572175,1.81862502,422.4924701,10.43008063,32.25071243,217.9606039,111.7063668,8.68401624,15.53287045,12.12419073,85.73213267,12.85,73.920325
CA-S16,0,Early,0.282560554,0,1.189399018,2.161016415,0.308392941,0.769405179,0.798809305,0.091891013,0.166926846,0.286127568,0.555675804,0.61181027,0.188255504,21.25242033,1.551335854,29.36401309,0.348648381,0.123510145,0.360234083,10.89581672,1.874553689,18.13490301,0.792925944,0.176218026,1.578827191,430.527775,12.39001488,44.26643372,258.2646785,320.9633776,10.84315556,17.27141461,9.867177407,132.9466045,12.8,68.21369
CA-S17,0,Early,0.251429137,0,0.891430067,1.86665125,0.679078699,0.190980367,2.02787086,0.190932593,0.272130937,0.435854585,0.755448009,1.071682237,0.178272018,19.97923449,1.69224813,35.92260842,0.914352883,0.105398073,0.40738503,7.678116854,1.359062772,21.05118945,1.859632763,0.153513827,1.656107767,394.5341443,15.45867493,20.14814915,215.7777781,152.6622556,13.35846465,16.20973579,9.66203763,78.62381641,13.2,66.75077
CA-S18,0,Early,0.310002422,0,1.186860418,1.757759095,0.356505597,0.707596674,1.224046223,0,0.133372887,0.317158967,0.565797028,0.685364081,0.234221316,0,1.795930407,25.89883448,0.59133255,0.105675201,0.350692972,9.363344813,1.785540815,16.15228911,1.030507377,0.149464438,1.551521975,423.873736,8.500812474,42.10506571,192.2244233,107.497683,10.97844172,13.02371545,7.518421139,98.50273424,12.45,62.834875
CA-S19,5,Early,0.230997298,0,0.711061479,1.574510127,0.420479634,0.3009428,0.899759158,0,0.111669911,0.252524635,0.426631038,0.546003835,0.152207235,21.09997918,1.486279699,27.5652335,0.233677647,0.155131668,1.544742898,4.738934329,0.81111216,6.204029859,0.820737468,0.061031971,0,509.4025169,21.62089373,126.7321551,216.7895812,122.8060114,6.436347562,6.759375055,20.05853401,158.4965688,13.65,60.761445
CA-S20,5,Early,0.113351882,0,1.080582264,2.356377157,0.624944197,1.194180404,1.227634885,0.107460867,0.186874775,0.315734529,0.601787755,0.608289024,0.192774915,22.46406009,1.358905986,28.1891801,0.18594659,0.148951485,1.36192612,3.916536972,0.64613706,5.364184956,0.702773638,0.050969333,0,460.7423167,22.64158683,93.03205407,245.2669517,90.49469396,5.216261527,7.34888528,15.13194653,138.2923471,14.5,64.307455
CA-S21,5,Early,0.280379401,0,1.087733146,1.594546653,0.564761743,0.20818454,0.726849384,0.079736095,0.116610792,0.256524519,0.456268475,0.595197275,0.157211594,24.13255944,1.501298482,23.77456377,0.267168689,0.175159213,0.918440886,7.884945875,1.547321168,9.09908014,1.591624427,0.085521651,0.351147371,483.5176654,19.43686257,129.7617459,184.8819614,109.7964186,9.796062349,8.909199905,22.43231655,144.9541446,14.35,68.555285
CA-S22,5,Early,0.273850134,0,0.950194545,1.92744046,0.630492476,0.366313386,1.945479401,0.117116763,0.224899126,0.441465326,0.814605455,0.910037363,0.275256037,19.39575586,1.121508869,25.96937645,0.297510318,0.161443571,1.548572518,12.08161718,1.363989791,17.04479739,1.781547989,0.165074704,1.508137673,475.6710075,20.85649068,117.7361528,250.7187766,108.4004892,9.904987755,8.318337609,18.47122795,162.430111,14.5,69.68872
