Sample ID,Storage Week ,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK ,Malic-SK ,Asc-SK,Shik-SK ,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA ,PA ,7-OH-ABA ,ABA-GE ,TSS,Firmness
DCA2_S1,0,Early,0.274599847,0,0.995406926,2.196087742,0.456682577,0.911032364,1.799211567,0,0.202334783,0.422286037,0.773449703,0.967780021,0.237802323,12.15281238,0.80767886,19.36653701,0.587378526,0.067503387,0,6.558702871,1.188513807,14.32157266,1.394813579,0.127191668,0,354.8287144,10.3350353,16.18642124,234.1404361,350.0985706,13.4449772,13.22348312,11.86431618,74.69377373,13,73.03737
DCA2_S2,0,Early,0,0.234092682,1.220198182,2.837060258,0.354558849,2.144186979,0.889441087,0,0.105970954,0.28297656,0.544835186,0.566764117,0.207852972,16.43028752,1.073836906,21.69791645,0.500721081,0.083769332,0,7.567808398,1.396626062,15.43225516,1.493169732,0.121712387,1.367189838,378.4475712,10.802934,21.99817281,265.1897095,429.6186644,8.375021395,13.51697692,0,87.48507599,12.6,65.229505
DCA2_S3,0,Early,0.250841757,0,1.043645166,1.692014746,0.339689488,0.634237334,0.472328968,0,0.082389427,0.219009613,0.399520837,0.446956743,0.206890816,14.45336063,1.000116604,19.39040225,0.575144128,0.081236653,0,7.945593697,1.503299717,15.18593455,1.032939282,0.153476237,1.765503157,389.4728504,10.05213118,19.30023562,202.1413203,347.7417872,5.925960274,6.5619307,8.671530597,8.092443535,12,73.782965
DCA2_S4,0,Early,0.244124809,0,0.986908405,2.054372542,0.355035407,0.597184003,1.989655869,0.217237176,0.315534661,0.438721393,0.805648657,0.857788042,0.230533714,11.22656068,0.661888794,14.74860344,0.546090302,0.056248521,0,8.304672495,1.095181293,12.55336751,1.946877879,0.11661395,0,382.4817947,12.12121598,31.40525492,263.2950115,474.8071728,12.90013057,17.77100427,17.54862191,82.1326713,13.7,75.61283
DCA2_S5,0,Early,0.283833446,0,1.100220338,2.647771812,0.472575714,0.994253515,3.49909776,0.330093872,0.500106589,0.656098773,1.169151149,1.551499828,0.226547788,13.63157654,0.9182299,18.56963534,0.641789087,0.0735334,0,7.392447441,1.348261596,14.26624405,1.818306995,0.132899553,1.654832815,407.2825048,9.979398174,31.51432085,214.198008,206.7414086,8.741263567,14.06041711,11.06756531,65.02755634,12.05,66.773615
DCA2_S6,0,Early,0.200106,0,0.672549401,2.080203547,0.490785253,1.333726121,1.770336369,0.22074994,0.248755978,0.366310682,0.699630753,0.84122431,0.157167869,17.15065449,1.056344495,26.69842716,0.568227317,0.081579503,0,9.234514807,1.511358801,20.4544543,1.442879981,0.141371549,1.585414875,386.8599011,15.87112429,26.02667355,246.8099576,426.8664854,11.11272576,22.6433071,11.14616069,92.38580374,13.25,72.1599
DCA2_S7,0,Early,0.181935326,0,0.796541288,1.629085986,0.410906367,0.479433143,0.971609664,0.103960824,0.131002425,0.267422034,0.443755354,0.66914156,0.141012357,16.176495,1.196618671,20.50754557,0.768696058,0.08148575,0,8.357719248,1.501908464,15.71668979,1.625346261,0.154219417,1.637691401,343.7307775,10.59556513,22.41711693,213.8076661,219.5365579,7.065130522,12.66865024,6.843052292,64.61340255,13.1,66.26639
DCA2_S8,0,Early,0.210099232,0,0.962015052,1.920433058,0.344212593,0.548046179,1.202393813,0.112669441,0.183880008,0.299845301,0.547041687,0.583101111,0.151039383,18.84510316,1.257257289,22.52730576,0.717115919,0.089972917,0,9.110243976,1.53500402,15.77249288,1.38452569,0.157799504,1.501940411,414.1262726,9.540763264,34.5784798,199.2041049,231.7431882,10.08266581,15.3626436,9.38299619,101.4544039,12.25,68.525715
DCA2_S9,0,Early,0.190583499,0.020570421,1.01849156,2.37369346,0.400300389,0.68880202,0.467330984,0,0.097134078,0.196004055,0.377483126,0.437008402,0.166000223,20.17541068,1.734565504,24.07760368,0.598598484,0.117673292,0.347038412,8.347391697,2.261971335,13.17251436,0.892458605,0.185944178,1.468119245,414.3622797,8.764089453,31.21364799,181.0869573,166.0037018,9.874043169,16.36654823,13.46289085,114.1242458,11.3,66.106445
DCA2_S10,0,Early,0.235179758,0,1.345399067,1.918295105,0.494919669,0.63255163,1.090880465,0.096796202,0.18485445,0.336808863,0.614887472,0.80219609,0.223585497,13.4956071,0.995292201,16.58089391,0.468803286,0.072888241,0,9.225323438,1.81042017,14.18591396,1.561521958,0.147719522,1.375268473,413.101235,12.29777644,23.0374697,214.3904893,130.3360723,15.23280128,17.73849749,11.05339284,98.00148588,13.3,74.793695
DCA2_S11,0,Early,0.280605874,0,1.106397777,1.918555865,0.380246266,0.972015868,0.525563554,0,0.112073049,0.212626432,0.418281562,0.510708187,0.203876762,12.83408108,0.982640088,14.37370708,0.472857622,0.06964548,0,10.33800698,1.95289128,16.12419181,1.236812619,0.170907788,1.41461688,475.9500583,9.358957907,28.20262469,186.584996,85.38092583,8.179167465,13.05198859,10.13115928,100.4985633,12.15,61.3636
DCA2_S12,0,Early,0.288775661,0,1.047352114,2.072498656,0.767149852,0.148599923,2.656396448,0.303858287,0.327188948,0.55528783,1.001331299,1.355950954,0.240400665,10.24900781,0.943734258,15.11424888,0.481353332,0.073116518,0,8.173595799,1.55341197,16.42579662,1.782356605,0.162198716,0.649738098,391.7156446,14.40256397,30.42003423,209.918466,144.0097273,12.21317715,15.57122945,11.6,126.7735742,12.75,74.875355
DCA2_S13,0,Early,0.328352638,0,1.175145036,2.377950612,0.62152454,1.890777548,3.840041752,0.40333821,0.591045299,0.614659567,1.258408085,1.450241163,0.245754711,10.37360996,0.806995348,12.93557835,0.390287512,0.064508486,0,9.479694457,1.613347148,15.56649743,1.769363381,0.147155707,1.688189938,409.9355785,11.32637012,38.14928483,243.2467714,189.0945003,10.83141965,18.81024182,12.09,108.1618976,13.45,69.440855
DCA2_S14,0,Early,0,0.228845362,0.920564133,2.676977535,0.259204047,2.837760635,2.040563897,0.256749717,0.314036581,0.380406772,0.709935587,0.834755747,0.179597898,14.74351405,0,23.48828445,0.259992133,0.104927808,0.347770826,8.705735506,1.415045195,16.34519189,0.836431465,0.124807984,1.791028004,355.7552203,20.20496117,40.33624472,293.4310026,580.7659353,16.17374514,16.84210116,12.36621573,123.4368614,14.35,64.545855
DCA2_S15,0,Early,0.299930109,0,1.082666581,2.441527381,0.440287865,0.98524654,1.375486959,0.131490258,0.20298358,0.353124153,0.672609055,0.791201512,0.199608041,22.15619006,1.889591281,27.64051991,0.710507217,0.113628603,0.369422499,7.623614568,1.950547575,17.61352289,1.688896699,0.164572175,1.81862502,422.4924701,10.43008063,32.25071243,217.9606039,111.7063668,8.68401624,15.53287045,12.12419073,85.73213267,12.85,73.920325
DCA2_S16,0,Early,0.282560554,0,1.189399018,2.161016415,0.308392941,0.769405179,0.798809305,0.091891013,0.166926846,0.286127568,0.555675804,0.61181027,0.188255504,21.25242033,1.551335854,29.36401309,0.348648381,0.123510145,0.360234083,10.89581672,1.874553689,18.13490301,0.792925944,0.176218026,1.578827191,430.527775,12.39001488,44.26643372,258.2646785,320.9633776,10.84315556,17.27141461,9.867177407,132.9466045,12.8,68.21369
DCA2_S17,0,Early,0.251429137,0,0.891430067,1.86665125,0.679078699,0.190980367,2.02787086,0.190932593,0.272130937,0.435854585,0.755448009,1.071682237,0.178272018,19.97923449,1.69224813,35.92260842,0.914352883,0.105398073,0.40738503,7.678116854,1.359062772,21.05118945,1.859632763,0.153513827,1.656107767,394.5341443,15.45867493,20.14814915,215.7777781,152.6622556,13.35846465,16.20973579,9.66203763,78.62381641,13.2,66.75077
DCA2_S18,0,Early,0.310002422,0,1.186860418,1.757759095,0.356505597,0.707596674,1.224046223,0,0.133372887,0.317158967,0.565797028,0.685364081,0.234221316,21.60308978,1.795930407,25.89883448,0.59133255,0.105675201,0.350692972,9.363344813,1.785540815,16.15228911,1.030507377,0.149464438,1.551521975,423.873736,8.500812474,42.10506571,192.2244233,107.497683,10.97844172,13.02371545,7.518421139,98.50273424,12.45,62.834875
DCA2_S19,5,Early,0.260559257,0,0.974863785,2.028916217,0.413249379,0.648121731,0.448148107,0,0.095679648,0.194123721,0.365604465,0.370002744,0.159098903,23.31622952,1.248667112,30.41237057,0.341022154,0.168766098,0.613367771,7.242221732,1.328410933,9.370283051,1.543404969,0.073338676,0,445.4311525,19.34314352,92.42448022,251.3793771,66.80826753,8.565,6.946703322,16.75971548,113.5382956,14.15,72.10656
DCA2_S20,5,Early,0.501375391,0,1.266465441,2.158976022,0.443339032,1.068279678,0.795461001,0,0.110065689,0.259835423,0.542312875,0.539134475,0.237807318,26.38484828,1.867040698,25.78147911,0.368430127,0.158550343,0,5.737154814,1.556623889,6.410653803,1.185575445,0.067806948,0,511.2199753,16.61302178,112.9279494,196.0790247,41.84258323,8.777590485,7.094590594,19.7040516,105.5214589,13.55,72.36677
DCA2_S21,5,Early,0.301340655,0,1.264633907,2.145767639,0.480607781,0.235792904,0.806014428,0,0.125704063,0.27714061,0.558849161,0.588881022,0.236976553,20.72421871,1.531599241,26.71372236,0.326452698,0.169489635,1.129502774,6.788627691,1.690638834,8.047468463,1.32160713,0.095313387,0.372350141,480.3807172,21.13260075,119.3563931,214.4755185,41.84258323,8.777590485,7.094590594,19.7040516,105.5214589,14.25,68.78306
