Name,Class,HUMID,FE101A,FE102A,FE103A,FE104A,FE105A,FE101B,FE102B,FE103B,FE104B,FE105B,MO101,MO102,MO104,MO110,MO111,MO112,MO113,MO114,MO115,MO116,MO117,MO118,CO2
E4,1,11.31,25.89,23.24,43.9,-7,-2.86,26.9,-11.79,33.77,-7.5,-10.22,31.41,99.34,94.45,72.39,17.75,34.95,19.4,47.22,47.4,116.01,97.02,86.01,5.37
B2,2,11.47,25.39,23.03,43.21,-6.38,-2.65,26.13,-11.83,31.72,-7.47,-10.39,31.07,84.26,79.75,63.31,17.15,31.22,18.8,43.53,37.03,95.63,79.72,72.93,6.45
B1,2,11.83,26.11,23.95,44.52,-6.19,-2.04,27.03,-11.84,33.71,-7.57,-10.57,32.22,85.17,81.63,64.43,17.57,31.97,17.8,44.76,34.55,97.17,80.45,73.76,7.97
I3,3,11.39,35.24,22.47,54.18,-9.76,-1.87,35.07,-10.33,47.47,-7.36,-9.5,31.27,82.2,77.45,61.64,17.28,30.15,18.87,43.48,37.77,94.77,75.14,71.19,25.47
I4,3,10.58,40.3,23.03,61.03,-9.39,-0.69,38.43,-9.59,53.43,-6.63,-6.95,32.57,93.84,83.03,69.95,22.01,35.96,22.33,46.64,41.86,100.35,82.16,76.05,18.95
E1,1,10.82,25.2,23.38,43.41,-4.6,-0.46,26.68,-10.75,34.24,-6.89,-9.11,30.41,92.51,89,68.98,17.62,34.2,19.97,46.74,40.03,109.32,91.45,80.89,6.35
B4,2,11.87,26.25,25.25,45.23,-3.58,0.34,27.16,-11.08,33.67,-6.64,-8.9,30.97,80.24,77.61,61.33,18.81,31.73,19.34,43.59,30.61,96.34,73.76,70.6,6.85
E3,1,11.3,24.91,23.32,42.56,-1,1.89,26.5,-11.63,29.83,-5.92,-6.34,25.83,90.66,87.16,67.76,18.34,31.47,14.85,37.87,40.53,114.16,83.26,76.01,6.8
I1,3,10.3,28.67,22.71,46.71,-3.86,2,29.07,-10.36,38.41,-6.58,-10.61,28.61,79.23,71.71,62.08,20.62,32.29,18.03,41.14,23.38,88.18,71.41,67.92,35.9
I2,3,11.15,35.51,23.68,55.56,-5.33,2.11,34.48,-9.85,46.63,-6.5,-8.55,30.95,78.07,75.73,59.21,17.89,30.13,19.49,43.23,31.54,93.17,69.64,68.52,24.5
R4,4,10.13,30.51,23.86,49.59,-2.56,3.11,30.29,-10.22,39.77,-6.14,-9.1,30.07,83.9,81.01,63.63,18.76,32.79,19.24,43.91,31.26,104.54,79.67,73.64,30.76
B3,2,11.65,25.79,25.54,44.89,-1.04,3.21,27.04,-10.74,35.54,-6.48,-8.12,29.99,88.61,80.37,67.96,23.16,33.86,20.06,44.4,36.28,102.33,77.57,72.84,12.24
E2,1,11.46,24.99,24.14,43.42,-0.4,3.35,26.89,-11.25,32.72,-5.99,-6.34,27,93.42,89.28,66.75,20.79,33.96,17.35,40.07,41.57,114.95,81.55,76.75,8.08
M3,5,10.78,51.73,24.82,76.6,-4.88,3.94,49.58,-9.37,73.36,-7.02,-5.85,33.32,76.31,73.18,61.36,18.38,29.19,19.05,44.67,30.66,94.05,66.99,67.32,48.2
R3,4,9.8,30.51,22.88,48.96,-2.13,4.06,30.06,-10.86,40.76,-6.81,-8.67,27.19,88.4,81.24,67.25,21.15,32.84,18.49,41.13,39.56,109.65,81.37,72.92,35.3
R2,4,11.22,38.88,24.58,62.99,-1.54,6.05,38.88,-10.05,54.35,-5.91,-5.36,27.63,89.24,84.4,66.51,21.42,33.28,16.9,38.47,36.88,112.6,79.11,73.2,30.11
R1,4,12.18,34.78,25.72,55.29,-1.67,6.27,35.12,-10.17,49.31,-6.53,-6.41,29.41,92.68,85.49,72.61,24.05,36.49,20.26,44.65,37.78,111.91,85.7,78.23,32.55
M4,5,10.53,45.22,24.95,68.02,-4.81,6.49,45.22,-9.22,67.26,-6.58,-6.48,29.16,78.71,69.46,64.18,20.44,28.74,13.9,39.01,29.88,96.05,68.37,63.99,64.5
M2,5,10.91,47.93,25.63,72.9,-4.57,7.45,48.35,-9.13,72.54,-6.42,-5.17,30,79.02,70.5,63.79,22.71,31.43,16.9,40.12,30.07,95.53,66.15,64.95,61.85
M1,5,11.52,55.72,25.39,85.31,-4.66,8.88,55.14,-8.56,83.68,-6.18,-3.57,29.18,79.34,68.94,62.35,23.15,32.02,16.43,37.94,29.27,91.96,63.01,62.95,51.1
M5,5,10.57,45.49,25.01,79.35,-4.82,7.23,51.9,-9.73,78.02,-7.156,-4.89,31.45,78.91,71.89,61.37,20.2,30.12,18.16,38.31,30.52,95.29,65.18,65.83,49.56
I5,3,10.74,40.81,24.84,62.18,-2.42,7.02,39.34,-8.92,56.65,-5.84,-6.02,29.97,77.39,70.62,64.19,20.82,32.81,18.9,42.64,22.56,87.74,72.18,67.69,31.82
B5,2,10.56,24.61,22.29,45.01,-2.48,-2.37,26.02,-10.87,32.13,-7.14,-9.65,30.06,83.94,78.11,64.43,18.05,30.23,17.4,45.91,36.1,94.04,77.36,76.6,6.71
E5,1,10.89,25.72,21.85,41.15,-3.16,2.86,25.38,-11.77,34.81,-6.09,-10.61,28.95,93.73,97.02,61.08,19.92,32.5,19.99,45.21,45.13,105.25,94.15,88.69,5.37
R5,4,10.18,32.15,23.68,59.72,-1.86,5.71,32.98,-10.02,59.1,-6.95,-7.31,28.17,89.19,80.21,66.23,19.76,32.91,19.86,44.82,36.17,109.18,79.06,71.45,35.99
